SEASON_YEAR,TEAM_ABBREVIATION,AVG_PLUS_MINUS,WIN_PCT,AVG_PTS,HOME_WIN_PCT,AWAY_WIN_PCT
2010-11,ATL,-0.8170731707317073,0.5365853658536586,95.0,0.5853658536585366,0.4878048780487805
2010-11,BOS,5.365853658536586,0.6829268292682927,96.5,0.8048780487804879,0.5609756097560976
2010-11,CHA,-4.0,0.4146341463414634,93.29268292682927,0.5121951219512195,0.3170731707317073
2010-11,CHI,7.317073170731708,0.7560975609756098,98.6219512195122,0.8780487804878049,0.6341463414634146
2010-11,CLE,-9.012195121951219,0.23170731707317074,95.45121951219512,0.2926829268292683,0.17073170731707318
2010-11,DAL,4.2317073170731705,0.6951219512195121,100.2439024390244,0.7073170731707317,0.6829268292682927
2010-11,DEN,4.7560975609756095,0.6097560975609756,107.45121951219512,0.8048780487804879,0.4146341463414634
2010-11,DET,-3.597560975609756,0.36585365853658536,96.96341463414635,0.5121951219512195,0.21951219512195122
2010-11,GSW,-2.3292682926829267,0.43902439024390244,103.3780487804878,0.6341463414634146,0.24390243902439024
2010-11,HOU,2.182926829268293,0.524390243902439,105.91463414634147,0.6097560975609756,0.43902439024390244
2010-11,IND,-1.0731707317073171,0.45121951219512196,99.79268292682927,0.5853658536585366,0.3170731707317073
2010-11,LAC,-3.1341463414634148,0.3902439024390244,98.64634146341463,0.5609756097560976,0.21951219512195122
2010-11,LAL,6.109756097560975,0.6951219512195121,101.47560975609755,0.7317073170731707,0.6585365853658537
2010-11,MEM,2.341463414634146,0.5609756097560976,99.9390243902439,0.7317073170731707,0.3902439024390244
2010-11,MIA,7.463414634146342,0.7073170731707317,102.0609756097561,0.7317073170731707,0.6829268292682927
2010-11,MIL,-0.8414634146341463,0.4268292682926829,91.8780487804878,0.5365853658536586,0.3170731707317073
2010-11,MIN,-6.634146341463414,0.2073170731707317,101.07317073170732,0.2926829268292683,0.12195121951219512
2010-11,NJN,-6.2439024390243905,0.2926829268292683,94.17073170731707,0.4634146341463415,0.12195121951219512
2010-11,NOH,0.8902439024390244,0.5609756097560976,94.92682926829268,0.6829268292682927,0.43902439024390244
2010-11,NYK,0.7804878048780488,0.5121951219512195,106.51219512195122,0.5609756097560976,0.4634146341463415
2010-11,OKC,3.792682926829268,0.6707317073170732,104.82926829268293,0.7317073170731707,0.6097560975609756
2010-11,ORL,5.463414634146342,0.6341463414634146,99.20731707317073,0.7073170731707317,0.5609756097560976
2010-11,PHI,1.5,0.5,99.01219512195122,0.6341463414634146,0.36585365853658536
2010-11,PHX,-0.8902439024390244,0.4878048780487805,105.01219512195122,0.5609756097560976,0.4146341463414634
2010-11,POR,1.524390243902439,0.5853658536585366,96.29268292682927,0.7317073170731707,0.43902439024390244
2010-11,SAC,-5.341463414634147,0.2926829268292683,99.40243902439025,0.2682926829268293,0.3170731707317073
2010-11,SAS,5.7073170731707314,0.7439024390243902,103.6829268292683,0.8780487804878049,0.6097560975609756
2010-11,TOR,-6.280487804878049,0.2682926829268293,99.07317073170732,0.3902439024390244,0.14634146341463414
2010-11,UTA,-1.829268292682927,0.47560975609756095,99.42682926829268,0.5121951219512195,0.43902439024390244
2010-11,WAS,-7.402439024390244,0.2804878048780488,97.28048780487805,0.4878048780487805,0.07317073170731707
2011-12,ATL,3.4393939393939394,0.6060606060606061,96.5909090909091,0.696969696969697,0.5151515151515151
2011-12,BOS,2.515151515151515,0.5909090909090909,91.84848484848484,0.7272727272727273,0.45454545454545453
